word,raw_word,length,writing_time,delay,log_prob
the,the,3,0.308,0.5435000000000001,-0.037384033203125
"outside,",outside,8,1.892,0.22489999997615814,-3.623046875
but,but,3,0.46,2.378,-1.48828125
they,they,4,6.79,0.19640000000596047,-1.58203125
are,are,3,0.362,0.7407000000178814,-0.11083984375
"aborbed,",absorbed,8,18.734,8.766099999964236,-11.5
also,also,4,0.631,0.495,-6.390625
some,some,4,0.602,0.24059999999403953,-5.5625
candles,candles,7,1.017,0.2315,-9.765625
are,are,3,0.334,1.5902999999821186,-4.71875
craking,craking,7,12.01,0.411,-8.921875
from,from,4,4.788,0.14409999999403952,-0.314208984375
time,time,4,1.136,0.24159999999403953,-0.1195068359375
to,to,2,0.211,0.19790000000596047,-1.162109375
time.,time,5,0.458,1.6725999999940395,0.0
The,The,3,0.36,0.7264000000059605,-0.12213134765625
tourists,tourists,8,1.368,0.6005,-0.865234375
overwhelm,overwhelm,9,10.666,0.19309999999403954,-12.0234375
the,the,3,0.291,0.14259999999403952,-0.0212554931640625
place,place,5,1.176,12.624199999988079,-5.1328125
and,and,3,0.7,0.21330000001192093,-2.71875
they,they,4,0.75,0.43289999997615813,-0.89892578125
take,take,4,0.602,0.409,-0.1029052734375
photos,photos,6,1.035,0.30709999999403953,-4.23046875
of,of,2,0.256,0.28419999998807904,-0.026031494140625
the,the,3,0.335,1.8774000000059605,-0.0058441162109375
sky,sky,3,2.092,2.018700000017881,-3.953125
for,for,3,0.311,0.6756999999880791,-8.4453125
it,it,2,0.4095,0,-0.53076171875
's,'s,2,0.4095,1.8966000000238419,-19.171875
orange,orange,6,2.022,2.737300000011921,-9.7734375
and,and,3,0.575,0.24819999998807907,-5.79296875
violet,violet,6,1.026,0.28029999998211863,-11.1171875
colors.,colors,7,1.183,1.4820999999940396,-17.90625
All,All,3,0.344,0.23560000002384185,-0.9755859375
the,the,3,0.304,0.17859999999403953,-0.01934814453125
people,people,6,3.92,0.428800000011921,-3.123046875
from,from,4,0.484,0.16430000001192094,-9.8828125
the,the,3,0.317,0.3307999999821186,-0.6201171875
room,room,4,1.978,0.1695,-2.876953125
are,are,3,0.339,0.24180000001192092,-0.061553955078125
"focused,",focused,8,2.721,8.4655,-12.109375
musicians,musicians,9,4.057,0.4317000000178814,-8.609375
signing,signing,7,0.89,2.408199999988079,-11.25
and,and,3,1.336,1.594,-1.607421875
headphones,headphones,10,3.146,0.31880000001192094,-13.6875
are,are,3,0.363,13.330599999994039,-0.03265380859375
scattered,scattered,9,14.624,0.3615999999940395,-1.8330078125
all,all,3,0.571,0.17220000001788138,0.0
over,over,4,0.45,0.4215999999940395,-0.022216796875
the,the,3,0.463,0.26209999999403955,0.0
place.,place,6,0.82,1.4702000000178814,-9.125
Students,Students,8,1.027,0.19609999999403954,-2.06640625
are,are,3,0.284,0.2831999999880791,-0.219970703125
talking,talking,7,0.885,0.19459999999403954,-3.427734375
about,about,5,0.555,0.2762999999821186,-0.0155029296875
exams,exams,5,1.379,0.2165,-7.2421875
and,and,3,0.69,0.9680999999940395,-0.165283203125
project,project,7,1.452,4.63859999999404,-11.5546875
waiting,waiting,7,1.16,0.33889999997615816,-4.5390625
for,for,3,0.477,0.31369999998807907,-0.035491943359375
the,the,3,0.296,0.403,-0.17431640625
teacher,teacher,7,1.245,0.3366999999880791,-0.423583984375
to,to,2,0.284,0.3914000000059605,-0.0009760856628417969
start,start,5,0.887,5.5895,-1.0947265625
presenting,presenting,10,1.589,0.20890000000596046,-5.07421875
the,the,3,0.304,0.21680000001192093,-1.025390625
lecture.,lecture,8,0.788,1.236800000011921,-8.7890625
Doctors,Doctors,7,0.958,0.1985,-2.431640625
are,are,3,0.282,0.2467000000178814,-0.05230712890625
rushing,rushing,7,1.226,0.2892999999821186,-5.46875
and,and,3,2.188,4.090199999988079,-1.4375
some,some,4,2.789,0.30719999998807906,-0.499755859375
patients,patients,8,1.155,0.4800999999940395,-1.181640625
are,are,3,0.534,0.6509000000059605,-0.01165008544921875
waiting,waiting,7,1.137,0.38,-5.06640625
while,while,5,0.772,0.21559999999403953,-5.36328125
some,some,4,0.55,4.481199999988079,-4.24609375
are,are,3,4.626,1.6997999999821185,-0.0145416259765625
getting,getting,7,1.149,1.3315,-0.281494140625
their,their,5,1.499,1.281300000011921,-3.3515625
needed,needed,6,1.294,2.2645999999940396,-6.28125
treatment,treatment,9,3.397,0.5526999999880791,-4.046875
fast.,fast,5,1.653,5.55690000000596,-20.875
Soft,Soft,4,1.424,0.24219999998807906,-4.2734375
music,music,5,0.899,12.201300000011921,-3.05078125
welcomes,welcomes,8,13.926,0.269,-6.046875
you,you,3,0.356,0.533699999988079,-0.026031494140625
and,and,3,0.599,6.455199999988079,-1.62890625
everyone,everyone,8,1.709,0.20080000001192094,-0.505859375
is,is,2,0.175,6.49440000000596,-1.2236328125
nice,nice,4,6.971,0.22230000001192093,-9.484375
with,with,4,0.415,0.3767999999821186,-4.73046875
"you,",you,4,1.8,0.19110000002384187,-0.0212554931640625
while,while,5,0.596,0.4162999999821186,-2.666015625
some,some,4,0.639,0.18090000000596046,-0.953125
people,people,6,0.835,0.5636999999880791,-0.8349609375
are,are,3,0.36,1.1275,-0.057861328125
going,going,5,1.396,0.5098000000119209,-4.82421875
out,out,3,1.344,0.47890000000596045,-1.400390625
looking,looking,7,1.874,0.45930000001192095,-1.5341796875
relaxed,relaxed,7,1.75,0.1565,-6.0078125
in,in,2,1.131,0.19309999999403954,-0.0307769775390625
their,their,5,0.698,6.085699999988079,-0.3662109375
robes.,robes,6,1.004,1.8075,-17.734375
Lights,Lights,6,0.824,0.462,-1.75390625
are,are,3,0.507,1.3465999999940395,-0.038330078125
glowing,glowing,7,2.016,1.470699999988079,-5.9296875
and,and,3,2.723,0.30339999997615813,-0.71337890625
from,from,4,0.548,0.48219999998807905,0.0
time,time,4,0.814,0.2157999999821186,0.0
to,to,2,0.262,0.7250999999940395,0.0
time,time,4,1.331,2.588300000011921,0.0
an,an,2,2.911,0.19209999999403954,-0.315673828125
ambulance,ambulance,9,1.656,0.2172999999821186,-7.8515625
alarm,alarm,5,1.295,1.5955999999940396,-7.97265625
